Time ,Voltage
0,1
0.05,1
0.1,1
0.15,1
0.2,1
0.25,1
0.3,1
0.35,1
0.4,0.4
0.45,0.4
0.5,0.4
0.55,0.4
0.6,0.4
0.65,0.4
0.7,0.4
0.75,0.4
0.8,0.4
0.85,0.4
0.9,0.4
0.95,0.4
1,0.4
1.05,0.4
1.1,0.4
1.15,0.4
1.2,0.4
1.25,0.4
1.3,0.4
1.35,0.4
1.4,0.4
1.45,0.4
1.5,0.4
1.55,0.4
1.6,0.4
1.65,0.4
1.7,0.4
1.75,0.4
1.8,0.4
1.85,0.4
1.9,0.4
1.95,0.4
2,0.4
2.05,0.4
2.1,0.4
2.15,0.4
2.2,0.4
2.25,0.4
2.3,0.4
2.35,0.4
2.4,0.4
2.45,0.4
2.5,0.4
2.55,1
2.6,1
2.65,1
2.7,1
2.75,1
2.8,1
2.85,1
2.9,1
2.95,1
3,1
3.05,1
3.1,1
3.15,1
3.2,1
3.25,1
3.3,1
3.35,1
3.4,1
3.45,1
3.5,1
3.55,1
3.6,1
3.65,1
3.7,1
3.75,1
3.8,1
3.85,1
3.9,1
3.95,1
